carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Limousine,Black,Used,null,RHD,4966 Zuzwil,CH,Mercedes-Benz,2000,74500,kilometer,S 500, L,null,null,4966,5,l/100km
Other,Grey,Used,null,RHD,6209 Zuzwil,CH,Mercedes-Benz,2008,36000,kilometer,CLK 63 AMG, Black Series,null,null,6209,7,l/100km
Limousine,Blue,Used,null,RHD,5981 Zuzwil,CH,Mercedes-Benz,2006,68800,kilometer,S 65 AMG, L,null,null,5981,8,l/100km
Station Wagon,Silver,Used,null,RHD,4172 Zuzwil,CH,Audi,2003,144200,kilometer,RS6, Avant quattro,null,null,4172,2,l/100km
Convertible / Roadster,White,Used,null,RHD,5351 Zuzwil,CH,Chevrolet,1961,67000,kilometer,CORVETTE,C1,null,null,5351,1,
Convertible / Roadster,Black,Used,null,RHD,5461 Zuzwil,CH,Mercedes-Benz,2012,19400,kilometer,SLK 55 AMG,SLK 55 AMG,null,null,5461,9,l/100km
Other,Grey,Used,null,RHD,3600 Zuzwil,CH,Porsche,2009,44600,kilometer,911, GT2,null,null,3600,5,l/100km
Compact Van,Red,Used,null,RHD,5893 Zuzwil,CH,Dodge,1979,13800,kilometer,,B 200,null,null,5893,7,
Other,Black,Used,null,RHD,5786 Zuzwil,CH,Mercedes-Benz,2000,103800,kilometer,CL 600,CL 600,null,null,5786,6,l/100km
Station Wagon,Red,Used,null,RHD,4991 Zuzwil,CH,Audi,2009,89000,kilometer,RS6, Avant 5.0 V10 quattro,null,null,4991,3,l/100km
Other,Anthracite,Antique Car / Restored,null,RHD,3929 Zuzwil,CH,Lamborghini,1973,48000,kilometer,,Espada GT 400 Serie 3,null,null,3929,4,
Station Wagon,Grey,Used,null,RHD,4991 Zuzwil,CH,Audi,2008,36700,kilometer,RS6, Avant 5.0 V10 quattro,null,null,4991,6,l/100km
Station Wagon,Black,Demo car,null,RHD,2494 Zuzwil,CH,Bmw,1997,112300,kilometer,523,i Touring,null,null,2494,9,l/100km
